depth_bin,depth_min,depth_max,units,Land,Atlantic,Pacific,Indian,Arctic,Southern,Mediterranean,Coastal Atlantic,Coastal Pacific,Coastal Indian,Coastal Arctic,Coastal Southern,Coastal Mediterranean
4000-4100,4000,4100,L,0.0,3.1788826095906186e+18,8.022619513059845e+18,1.983425877155938e+18,1.0656912257818296e+16,3.675455740576318e+18,0.0,2.0911400834113168e+17,3.5215714855328237e+17,2.0562472352298592e+17,1.5177683635991314e+16,2.3712916306893824e+17,0.0
4100-4200,4100,4200,L,0.0,3.0129778938233795e+18,7.56338672304058e+18,1.8563568895291648e+18,7937833966460214.0,3.4051593833846047e+18,0.0,1.7803107937642048e+17,3.170135481875634e+17,1.9383908651282163e+17,1.2716759578288944e+16,2.0196388305685754e+17,0.0
4200-4300,4200,4300,L,0.0,2.842452847555655e+18,7.048255185417918e+18,1.7312892797718833e+18,4644483905668737.0,3.128036534683987e+18,0.0,1.483802161346145e+17,2.7761785555327808e+17,1.7740343801955834e+17,5247797066078204.0,1.7490894359796787e+17,0.0
4300-4400,4300,4400,L,0.0,2.642931389791399e+18,6.574155809194985e+18,1.57899053562931e+18,0.0,2.799452534721242e+18,0.0,1.200404775078012e+17,2.5012325450214506e+17,1.602701038805007e+17,0.0,1.5054755467477933e+17,0.0
4400-4500,4400,4500,L,0.0,2.4237277627710346e+18,6.09969255176703e+18,1.417385618569262e+18,0.0,2.4664357830536346e+18,0.0,1.0294946617656605e+17,2.295878481233338e+17,1.508184093163491e+17,0.0,1.2735847575798006e+17,0.0
4500-4600,4500,4600,L,0.0,2.222645763479626e+18,5.681429127008861e+18,1.2703653067920668e+18,0.0,2.1656721519664466e+18,0.0,8.55453186051711e+16,2.012548719880428e+17,1.349473387855494e+17,0.0,1.0239925290635526e+17,0.0
4600-4700,4600,4700,L,0.0,2.0148041682971075e+18,5.262292673662523e+18,1.1357085399432977e+18,0.0,1.8665069370742564e+18,0.0,6.375813788994771e+16,1.680219611024379e+17,1.1442481955126157e+17,0.0,7.397278102369635e+16,0.0
4700-4800,4700,4800,L,0.0,1.819883563193795e+18,4.823481173550161e+18,1.0035576722560474e+18,0.0,1.6080199141532536e+18,0.0,4.4037293218552936e+16,1.4755269171082902e+17,9.438352028536032e+16,0.0,5.084989265622494e+16,0.0
4800-4900,4800,4900,L,0.0,1.592970516299088e+18,4.412793766399443e+18,8.874340074303857e+17,0.0,1.3369651791428204e+18,0.0,2.8253596154997176e+16,1.3289850538248462e+17,7.379155750457083e+16,0.0,2.699101982438463e+16,0.0
4900-5000,4900,5000,L,0.0,1.3532419671358054e+18,3.986282565699878e+18,7.230932492983837e+17,0.0,1.0292166139118273e+18,0.0,2.246322327933203e+16,1.1838757471652144e+17,5.988542848423091e+16,0.0,1.993671812986717e+16,0.0
