quantity,lat,lon,datetime,stationID,cruiseID,uniqueID,depth,value,units,uncertainty,uncertainty_type,flags,reference,year,month,day,basin,water_mass
Hg_T,-15.0,-170.0,2011-10-22 00:00:00,10,KM1128,KM1128_10,200.0,0.38529749999999996,pmol L-1,,,[],,2011.0,10.0,22.0,Pacific,
Hg_T,-15.0,-170.0,2011-10-22 00:00:00,10,KM1128,KM1128_10,300.0,0.4471476510067114,pmol L-1,,,[],,2011.0,10.0,22.0,Pacific,
Hg_T,-15.0,-170.0,2011-10-22 00:00:00,10,KM1128,KM1128_10,400.0,0.5367085427135677,pmol L-1,,,[],,2011.0,10.0,22.0,Pacific,
Hg_T,-15.0,-170.0,2011-10-22 00:00:00,10,KM1128,KM1128_10,500.0,0.6294221105527638,pmol L-1,,,[],,2011.0,10.0,22.0,Pacific,
Hg_T,-15.0,-170.0,2011-10-22 00:00:00,10,KM1128,KM1128_10,600.0,0.718787688442211,pmol L-1,,,[],,2011.0,10.0,22.0,Pacific,
Hg_T,-15.0,-170.0,2011-10-22 00:00:00,10,KM1128,KM1128_10,700.0,0.7445414572864321,pmol L-1,,,[],,2011.0,10.0,22.0,Pacific,
Hg_T,-15.0,-170.0,2011-10-22 00:00:00,10,KM1128,KM1128_10,800.0,0.7693619402985074,pmol L-1,,,[],,2011.0,10.0,22.0,Pacific,
Hg_T,-15.0,-170.0,2011-10-22 00:00:00,10,KM1128,KM1128_10,900.0,0.7795609452736317,pmol L-1,,,[],,2011.0,10.0,22.0,Pacific,
Hg_T,-15.0,-170.0,2011-10-22 00:00:00,10,KM1128,KM1128_10,1000.0,0.7878034274193547,pmol L-1,,,[],,2011.0,10.0,22.0,Pacific,
Hg_T,-15.0,-170.0,2011-10-22 00:00:00,10,KM1128,KM1128_10,1100.0,0.7588719758064515,pmol L-1,,,[],,2011.0,10.0,22.0,Pacific,
Hg_T,-15.0,-170.0,2011-10-22 00:00:00,10,KM1128,KM1128_10,1200.0,0.7299405241935483,pmol L-1,,,[],,2011.0,10.0,22.0,Pacific,
Hg_T,-15.0,-170.0,2011-10-22 00:00:00,10,KM1128,KM1128_10,1300.0,0.7315219999999999,pmol L-1,,,[],,2011.0,10.0,22.0,Pacific,
Hg_T,-15.0,-170.0,2011-10-22 00:00:00,10,KM1128,KM1128_10,1400.0,0.756122,pmol L-1,,,[],,2011.0,10.0,22.0,Pacific,
Hg_T,-15.0,-170.0,2011-10-22 00:00:00,10,KM1128,KM1128_10,1500.0,0.7812421875,pmol L-1,,,[],,2011.0,10.0,22.0,Pacific,
Hg_T,-15.0,-170.0,2011-10-22 00:00:00,10,KM1128,KM1128_10,1600.0,0.8132734374999999,pmol L-1,,,[],,2011.0,10.0,22.0,Pacific,
Hg_T,-15.0,-170.0,2011-10-22 00:00:00,10,KM1128,KM1128_10,1700.0,0.8453046874999999,pmol L-1,,,[],,2011.0,10.0,22.0,Pacific,
Hg_T,-15.0,-170.0,2011-10-22 00:00:00,10,KM1128,KM1128_10,1800.0,0.8995635245901639,pmol L-1,,,[],,2011.0,10.0,22.0,Pacific,
Hg_T,-15.0,-170.0,2011-10-22 00:00:00,10,KM1128,KM1128_10,1900.0,0.9751782786885245,pmol L-1,,,[],,2011.0,10.0,22.0,Pacific,
Hg_T,-15.0,-170.0,2011-10-22 00:00:00,10,KM1128,KM1128_10,2000.0,1.0426527777777777,pmol L-1,,,[],,2011.0,10.0,22.0,Pacific,
Hg_T,-15.0,-170.0,2011-10-22 00:00:00,10,KM1128,KM1128_10,2100.0,1.0019781746031744,pmol L-1,,,[],,2011.0,10.0,22.0,Pacific,
Hg_T,-15.0,-170.0,2011-10-22 00:00:00,10,KM1128,KM1128_10,2200.0,0.9613035714285714,pmol L-1,,,[],,2011.0,10.0,22.0,Pacific,
Hg_T,-15.0,-170.0,2011-10-22 00:00:00,10,KM1128,KM1128_10,2300.0,0.9725514112903225,pmol L-1,,,[],,2011.0,10.0,22.0,Pacific,
Hg_T,-15.0,-170.0,2011-10-22 00:00:00,10,KM1128,KM1128_10,2400.0,1.02628125,pmol L-1,,,[],,2011.0,10.0,22.0,Pacific,
Hg_T,-15.0,-170.0,2011-10-22 00:00:00,10,KM1128,KM1128_10,2500.0,1.07625,pmol L-1,,,[],,2011.0,10.0,22.0,Pacific,
Hg_T,-15.0,-170.0,2011-10-22 00:00:00,10,KM1128,KM1128_10,2600.0,1.07625,pmol L-1,,,[],,2011.0,10.0,22.0,Pacific,
Hg_T,-15.0,-170.0,2011-10-22 00:00:00,10,KM1128,KM1128_10,2700.0,1.07625,pmol L-1,,,[],,2011.0,10.0,22.0,Pacific,
Hg_T,-15.0,-170.0,2011-10-22 00:00:00,10,KM1128,KM1128_10,2800.0,1.07625,pmol L-1,,,[],,2011.0,10.0,22.0,Pacific,
Hg_T,-15.0,-170.0,2011-10-22 00:00:00,10,KM1128,KM1128_10,2900.0,1.07625,pmol L-1,,,[],,2011.0,10.0,22.0,Pacific,
Hg_T,-15.0,-170.0,2011-10-22 00:00:00,10,KM1128,KM1128_10,3000.0,1.0777027559055117,pmol L-1,,,[],,2011.0,10.0,22.0,Pacific,
Hg_T,-15.0,-170.0,2011-10-22 00:00:00,10,KM1128,KM1128_10,3100.0,1.114021653543307,pmol L-1,,,[],,2011.0,10.0,22.0,Pacific,
