Year,Air - Americas - Other Metals Production,Air - Americas - Gold and Silver Production,Air - Americas - Fossil-Fuel Combustion,Air - Americas - Mercury Production and Use,Air - Africa and Middle East - Other Metals Production,Air - Africa and Middle East - Gold and Silver Production,Air - Africa and Middle East - Fossil-Fuel Combustion,Air - Africa and Middle East - Mercury Production and Use,Air - Asia and Oceania - Other Metals Production,Air - Asia and Oceania - Gold and Silver Production,Air - Asia and Oceania - Fossil-Fuel Combustion,Air - Asia and Oceania - Mercury Production and Use,Air - Europe and Former USSR - Other Metals Production,Air - Europe and Former USSR - Gold and Silver Production,Air - Europe and Former USSR - Fossil-Fuel Combustion,Air - Europe and Former USSR - Mercury Production and Use,LW - Americas - Other Metals Production,LW - Americas - Gold and Silver Production,LW - Americas - Fossil-Fuel Combustion,LW - Americas - Mercury Production and Use,LW - Africa and Middle East - Other Metals Production,LW - Africa and Middle East - Gold and Silver Production,LW - Africa and Middle East - Fossil-Fuel Combustion,LW - Africa and Middle East - Mercury Production and Use,LW - Asia and Oceania - Other Metals Production,LW - Asia and Oceania - Gold and Silver Production,LW - Asia and Oceania - Fossil-Fuel Combustion,LW - Asia and Oceania - Mercury Production and Use,LW - Europe and Former USSR - Other Metals Production,LW - Europe and Former USSR - Gold and Silver Production,LW - Europe and Former USSR - Fossil-Fuel Combustion,LW - Europe and Former USSR - Mercury Production and Use
1820.0,0.13778,27.159144154,0.032724,2.843568000000002,0.0,0.47864817,0.0,0.0,0.08624,2.2482884405071624,0.0,0.0,1.9415650000000004,32.68083783941362,2.369088,170.02986378797775,0.0022728799999999,702.6692358470001,0.007002936,9.952488000000008,0.0,0.7179722550000001,0.0,0.0,0.0018502399999999,2.457147685,0.0,0.0,0.0242198799999999,49.02125675912043,0.3529941119999999,595.1045232579222
1830.0,0.2904877999999999,20.639861832,0.086292,0.96642,0.0,0.3190987799999996,0.0,0.0,0.09,6.202085694007524,0.0,0.0,5.118859500000001,40.858043,4.044492,156.62049626670878,0.0043659799999999,628.6499631480001,0.018466488,3.38247,0.0,0.4786481699999994,0.0,0.0,0.0026432,3.3812186025,0.0,0.0,0.05749205,61.28706449999999,0.6026293079999999,548.1717369334807
1840.0,0.7676275,24.294652424,0.242352,1.2885599999999997,0.0,1.209549389999999,0.0,0.0,0.09,11.894312770536269,0.0,0.0,6.15974,64.6168877,5.37354,165.5802481333544,0.01048035,695.5082328120001,0.051863328,4.509959999999999,0.0,0.2393240849999997,0.0,0.0,0.0026432,4.30528952,0.0,0.0,0.0693044999999999,96.92533155,0.80065746,579.5308684667403
1850.0,1.25472,39.289026212,0.6253384644000002,44.06713946875605,0.0,3.6287934168165714,0.0105078,0.0770667168055592,0.1485,25.73315638526814,0.02329312,1.199610228575497,10.650365,88.23047233962458,8.202695828345,175.42216000882308,0.0256993999999999,451.384173,0.1328310094999999,154.01600091572058,0.0,0.0,0.0021521999999999,0.1560952499707766,0.0031859999999999,7.721999999999999,0.00479298,2.429757828784071,0.1578564999999997,132.34570850943683,1.2137052054000004,612.6738272638578
1860.0,1.850625,54.2834,1.4973618940500002,75.44138920085344,0.0,6.048037443633143,0.0115535999999999,0.1942614437958265,0.2915,39.57200000000001,0.0644721507,2.573222946507043,18.770715000000003,122.50066569857792,12.986465408779996,184.41224513053584,0.0443019999999999,495.23041799999993,0.3167077384999998,263.29801664402805,0.0,0.0163636363636363,0.0023664,0.3934680220710546,0.0062539999999999,59.35799999999999,0.0179499179999999,5.211950057233792,0.2645224999999998,183.75099854786689,2.0244713949000013,641.8858965614404
1870.0,2.45712,288.367,3.0579751452499995,213.83310621778384,0.0275,8.467281470449716,0.0201860461249999,0.6251879361530162,0.34925,33.28,0.04087138115,4.861367904877927,23.6409,173.82958252318798,19.51989852645149,221.64618103420815,0.0635769999999999,1900.63587,0.6479627303000002,746.3530975010704,0.0005899999999999,0.0327272727272727,0.0046459384999999,1.269896200089841,0.0074929999999999,49.92,0.01394549,9.874522959656458,0.3632894999999997,260.74437378478194,3.2357807998590005,767.5185919585579
1880.0,7.950685000000001,575.9196999999999,6.032959134800001,416.9610123175675,0.143,10.88652549726629,0.020331763,1.595602185822838,0.38225,38.22,0.2175565032749999,11.84417907628956,41.23805,205.500791261594,27.871742985418003,386.99161848172287,0.1690334999999997,2346.6365369999994,1.2565840032499995,1450.602405784706,0.0030679999999999,1.3750909090909087,0.004611316,2.532304467939018,0.0082009999999999,57.33,0.0818406341,18.797334235595027,0.57632,308.25118689239093,4.729007652418003,1325.1987447478823
1890.0,16.653029999999998,1173.2302511115454,11.192323168650002,204.77827412729715,0.18425,13.30576952408286,0.0608957072599999,3.1435822428494675,2.46495,176.0719257016894,0.43670764318,22.672878400100384,47.42019000000001,169.9000119692514,37.8186799124635,580.6771085081839,0.3839969999999997,2426.0411280355,3.436971322650001,694.3186460728397,0.0039529999999999,19.958654286124293,0.0115875499999999,4.874882942506541,0.0335249999999998,264.1517187684909,0.16469539965,35.15976985223956,0.7426719999999998,255.09568631431551,6.435971420170995,1969.3958365558465
1900.0,37.93668,772.3390472996921,18.805208248785004,273.01213992224973,0.187,15.447933209647497,0.2912733039449999,7.021698430561247,5.3388800000000005,295.5066700256955,1.09363846407,49.03296532801899,51.293130000000005,99.73119481785044,52.00036572623999,491.1459873063521,0.779404999999999,2164.0747582832337,5.982562312099998,886.5685379840644,0.0040119999999999,23.17189981447124,0.0466954357,9.960051109438169,0.0740669999999997,443.5542229374105,0.5889708954499999,70.57453344522422,1.0037579999999997,149.73409391291375,9.430945999189998,1555.8055132013335
1910.0,59.802973163622624,528.9949208418516,36.87748363646431,229.6287140292765,0.2018569718135863,204.1145415286548,2.126337190218767,14.181748925565966,6.595893054091387,238.103124829679,3.771127438773796,98.81664434672172,62.84720476865285,55.421694738569606,68.09016486931662,568.3919593479972,8.528029836377373,872.7031405546246,11.970680080196717,641.3446804468772,0.0116270281864136,314.1175341272758,0.5943599042027331,21.96921041233367,0.5388499459086135,360.7945617437118,2.217786373785703,153.0786973657578,9.461778231347152,87.40483195015614,13.668379218218856,1667.826135346231
1920.0,56.83344022142908,183.41532145057548,45.46448373625281,227.6608442331259,1.778396139090032,194.9819273401185,3.0195600180998228,12.368255905140314,4.534345936357709,75.87396385915181,5.543401122048891,111.68053861464836,22.11592676989465,4.699599689921589,63.10752617112425,342.7799010471903,33.09100127857092,350.7406285266437,14.831433354340286,527.025933474274,0.2633658609099681,319.5763400909562,0.6596010341442774,24.78510579135274,1.7589020636422916,122.51951637877548,2.732176017847308,223.7998619715584,14.437517230105348,9.209590305959123,13.013769274966538,943.4109576675392
1930.0,57.15304942828234,90.551719449588,40.467073597042365,309.3613911849309,5.603707172534841,219.87248240124396,3.5731363164106367,23.43578241957944,13.039204078266202,58.73834356309677,7.20127508288228,164.3998695758383,37.23174749295528,30.49165843166634,76.43057675980108,376.8989508354974,74.48618557171767,249.92158495879465,12.736139514021836,780.6813248655142,1.2053018274651588,403.940709053365,0.7340165868217633,59.972008571638426,7.981615921733797,104.73167516108263,2.973876363938618,393.50429615323,46.71854550704473,58.7513385273942,14.580024601276511,1011.5704278443824
1940.0,43.30151261699388,64.11664982564749,37.67383884918616,416.1003773585318,5.252232606532816,289.5591345214896,4.960741440488381,49.35264800085376,13.154250911303263,88.03315591541447,12.02640395829025,351.0012699306047,27.7639440795085,79.40960121035474,92.8444731287331,611.8449552137178,118.49520638300608,378.3495942837572,11.771292850383553,1148.0742056693225,1.8238693934671832,589.4516897511699,0.749247793966119,136.14081764933985,17.95866108869674,199.93613556443503,4.295229576623047,943.8917626957032,57.79674192049149,182.10730519355428,19.987134245762768,1682.4187796463632
1950.0,28.449300305575665,29.840266274902376,42.31216961732456,329.34977411400047,5.373838787573087,201.02189512426443,8.393546227794882,28.77427194089894,5.3668429568205,21.192210159406127,12.439750936055034,104.48204896512716,25.187379750702046,80.65045916012647,93.40405892291705,313.36437283142953,147.16429069442432,231.48107259984835,14.601951306426546,780.7107876230398,4.281494212426912,474.23861950699626,1.2476299873907155,67.81419404920177,16.3449970431795,58.6049911604435,4.971626929174968,250.11168260620997,80.18963886929795,234.63002558040367,28.37822698053137,865.8054337004437
1960.0,20.023927065567225,23.96147211889644,36.7680209496284,526.1080101889352,11.987829609731817,276.7449610842478,13.116715805052603,72.4150361182563,14.681828121525054,19.50042787258286,67.19533570283777,536.0910807287846,50.895589591411074,28.28857948372418,130.65319018191306,601.9997299101076,163.45066793443277,214.42521935672784,10.546521007728018,1154.808582042143,13.616131390268183,792.807962898176,1.9639764154122927,154.03213455666017,52.16819187847495,67.39659765656108,20.95987254168439,1688.544971293771,173.10687790858893,116.60704479145208,43.93621747817415,1439.1613116334097
1970.0,20.37270735250113,16.232617032863573,45.380806716271024,762.6225620949754,16.293494489410186,326.52964912584326,18.70698080650584,51.52226207758836,19.70208586275165,18.36970020577304,70.21698517507818,423.52884577604186,64.17377546773815,28.18525498877795,140.0984485182879,1002.481108946527,222.44933964749887,142.84804693847792,19.721820937223765,1623.903694665395,29.100402510589813,1126.4327312384885,3.991331832451262,184.52673408269024,132.52269413724835,63.52172832070325,26.868346015663533,1595.498958065493,248.9008775322618,171.6611271370153,58.07424740161287,2198.6725972832
1980.0,20.345182729325668,29.4553082023818,48.45088005035739,468.32460214468495,13.577667196294724,192.874420764626,27.00429266440085,134.5978066261794,27.28971698622732,21.783314564487625,118.12474738944856,159.01162070661005,66.99724629237437,26.426861213059823,136.24923962733197,492.0888276516385,212.17346727067437,152.1438697085181,38.51313591390522,1922.4941056121709,34.48337280370527,755.2967841453896,9.070703022753356,466.75161467461766,164.7049205137727,79.57432429707833,47.14484314871072,616.1140484956019,320.7901479576256,222.4726792345222,85.5597988558363,1976.339562531624
1990.0,18.722215622408427,107.9928820389211,51.10864956318797,300.9486650124917,10.78846049305218,195.8359603312256,39.12952060393514,126.06764883406636,47.72430845379428,101.21271201546652,187.0571393930468,275.63897351522087,53.69565929738185,26.42721483895299,115.79691603924856,302.45022856706646,223.78013037759152,660.0266642203123,54.10238856407605,1370.7952139927731,33.78025450694782,760.6465920268762,13.041740991295596,492.9826980139494,226.65481404620576,477.3407273045466,91.5682927621814,1125.5704793922089,336.6793347026182,298.2999188893885,91.17289951249046,1933.7018037729392
2000.0,28.091491564137492,183.4155325870937,52.95766908496008,147.357005599424,6.712469458930103,232.65623335981215,51.02837490291404,74.86135213349722,105.98756063480542,229.8934526823621,265.2716328500282,314.2750617933299,41.71633109133416,20.39912566017564,78.60071145764523,129.49313221659315,306.4431704358625,940.4736371682072,68.56247271435653,689.8083519390716,32.643084541069896,759.325194825885,18.865133533621737,272.7864790962045,405.40957516519455,916.5006126495392,138.7117740875606,1151.9837919826095,301.82445815866583,251.3792078863301,71.1806750627182,786.2557404551127
2000.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
