Year,Air - Fossil-Fuel Combustion,Air - Gold and Silver Production,Air - Mercury Production and Use,Air - Other Metals Production,LW - Fossil-Fuel Combustion,LW - Gold and Silver Production,LW - Mercury Production and Use,LW - Other Metals Production
1840.0,5.6158920000000006,102.01540228453626,166.86880813335438,7.017367500000001,0.8525207880000001,796.9781779670001,584.0408284667403,0.0824280499999998
1850.0,8.861835212745,156.8814483537093,220.7659764229602,12.053585000000002,1.3534813949000002,591.4518815094368,769.2756812583332,0.1867418999999995
1860.0,14.559853053529997,222.40410314221103,262.62111872169214,20.912840000000003,2.361495451400001,738.3557801842304,910.7893312847732,0.3150784999999996
1870.0,22.63893109897649,503.94386399363776,440.96584309302295,26.47477,3.902334958659001,2211.332971057509,1525.0161086193746,0.4349494999999994
1880.0,34.142590386493005,830.5270167588602,817.3924120614028,49.713985,6.072043605768003,2713.592814801481,2797.130789236122,0.7566224999999995
1890.0,49.5086064315535,1532.5079583065692,811.2718432784309,66.72242,10.049225692470996,2965.247187404431,2703.749135423433,1.1641469999999992
1900.0,72.19048574304,1183.0248453528854,820.212790987182,94.75569000000002,16.049174642439997,2780.534974948029,2522.90863574006,1.8612419999999985
1910.0,110.86511313477352,1026.634281938755,911.0190666495612,129.44792795818046,28.451205576404007,1635.0200683757685,2484.2187235712,18.54028504181955
1920.0,117.13497104752577,458.97081233976735,694.4895398001049,85.26210906677147,31.236979681298408,802.0460753023345,1719.0218589047242,49.55078643322853
1930.0,127.67206175613636,399.6542038455951,874.0959940158459,113.02770817203866,31.02405706605873,817.3453077006366,2245.728057434765,130.39164882796135
1940.0,147.5054573766979,521.1185414729063,1428.299250503708,89.47194021433846,36.80290446673549,1349.8447247929164,3910.5255656607287,196.07447878566148
1950.0,156.54952570409154,332.70483071869944,775.9704678514561,64.3773618006713,49.1994352035236,998.9547088476918,1964.4420979788952,247.98042081932869
1960.0,247.7332626394318,348.49544055945125,1736.6138569460836,97.58917438823516,77.40658744299884,1191.2368247029171,4436.546999525984,402.3418691117648
1970.0,274.4032212161429,389.3172213532578,2240.1547788951325,120.54206317240111,108.65574618695145,1504.4636336346848,5602.601984096778,632.9733138275989
1980.0,329.8291597315388,270.5399047445552,1254.022857129113,128.2098132042221,180.2884809412056,1209.487657385508,4981.699331314015,732.151908545778
1990.0,393.0922255994185,431.46876922456624,1005.1055159288452,130.93064386663673,249.8853218300435,2196.3139024411234,4923.050195171871,820.8945336333634
2000.0,447.8583882955475,666.3643442894436,665.9865517428442,182.5078527492072,297.32005539825707,2867.6786525299617,2900.834363472998,1046.320288300793
2010.0,704.58,813.91,461.5691604,229.39,549.271345,3056.215177,2236.046351,1489.914997
2020.0,664.2048685,801.4329432,343.4906784,277.8209789,644.3584448,2880.420494,1614.12567,2054.630508
2030.0,757.593152,800.3801808,283.0491263,260.2167839,878.0893402,2973.01437,1345.854234,2033.251184
2040.0,943.3975762,649.367726,268.5347753,231.1336685,1330.499446,2459.637892,1446.570225,1955.210095
2050.0,1208.008687,498.4259467,198.8494134,205.0624945,2148.45042,1900.25801,1027.78569,2028.211518
2060.0,1523.448333,353.877726,138.784033,173.5176447,3531.094195,1432.426231,641.7506667,2029.799147
2070.0,1672.566768,220.0423882,99.39821091,136.0959154,5135.285398,1150.448278,419.2819657,2001.441982
2080.0,1583.081397,86.66275613,75.0670827,94.89508101,6663.564146,868.1751863,293.6378131,1974.76952
2090.0,1265.735231,50.37741836,55.20831264,54.12938348,7793.133801,774.2331323,200.8508994,1934.506407
2100.0,843.6742018,14.31993343,40.57768472,15.7501936,8612.096302,680.1443117,144.7336182,1855.310718
2110.0,661.5988609,11.22951445,31.82051784,12.35110677,6753.499266,533.3607462,113.4983109,1454.911688
2120.0,614.3417995,10.42740628,29.54762371,11.46888486,6271.106461,495.2635501,105.3912887,1350.989425
2130.0,567.084738,9.625298104,27.27472958,10.58666295,5788.713656,457.1663539,97.28426652,1247.067161
2140.0,519.8276765,8.823189929,25.00183545,9.704441036,5306.320852,419.0691577,89.17724431,1143.144898
2150.0,472.5706149,8.021081752,22.72894131,8.822219122,4823.928047,380.9719616,81.0702221,1039.222634
2160.0,425.3135534,7.218973577,20.45604718,7.93999721,4341.535243,342.8747654,72.96319989,935.3003711
2170.0,378.0564919,6.416865402,18.18315305,7.057775298,3859.142438,304.7775692,64.85617768,831.3781075
2180.0,330.7994305,5.614757227,15.91025892,6.175553386,3376.749633,266.6803731,56.74915547,727.4558442
2190.0,283.542369,4.812649052,13.63736479,5.293331474,2894.356828,228.5831769,48.64213326,623.5335806
2200.0,236.2853075,4.010540877,11.36447066,4.411109562,2411.964024,190.4859808,40.53511105,519.6113173
2210.0,189.028246,3.208432702,9.091576527,3.52888765,1929.571219,152.3887846,32.42808884,415.6890538
2220.0,141.7711844,2.406324525,6.818682392,2.646665736,1447.178414,114.2915885,24.32106664,311.7667904
2230.0,94.51412296,1.60421635,4.545788261,1.764443824,964.7856094,76.19439231,16.21404442,207.8445269
2240.0,47.25706149,0.802108175,2.272894131,0.882221912,482.3928047,38.09719616,8.10702221,103.9222634
2250.0,2.0946e-13,3.55523e-15,1.00743e-14,3.91032e-15,2.14306e-12,1.69249e-13,3.60159e-14,4.6168e-13
2260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
